Codes,All_ages,0-15,16-29,30-44,45-64,65+,Working-age,pop_dens,p_lone_house,p_one_house,p_notuk,p_social_rent,p_private_rent,p_apt,house_median,p_parent_unemp,p_emp,p_unemp,p_edu_0,p_edu_1,p_edu_2,p_edu_app,p_edu_3,p_edu_4,p_edu_other,p_act_0,p_act_1,p_act_2,p_healthy,p_healthok,p_unhealth,p_cars_0,p_cars_1,p_cars_2,p_cars_3,p_cars_4,p_ptal_0,p_ptal_2,p_ptal_4,med_income
E01000108,1558,329,322,345,380,182,1047,64.4,16.3,29.9,25.0,11.2,27.5,35.3,190000,42.0,61.4,9.4,26.3,16.7,15.5,3.7,11.7,19.6,6.4,6.4,9.2,84.5,82.8,12.1,5.1,34.4,44.6,16.3,3.7,1.1,2.9,97.1,0.0,31641
E01000066,1928,488,413,413,409,205,1235,78.7,13.5,30.5,31.3,28.0,11.3,33.6,259748,47.5,57.9,7.4,25.0,13.3,12.8,2.6,11.3,22.0,12.8,8.6,7.4,84.1,82.3,12.5,5.2,31.9,44.8,17.9,3.8,1.6,68.3,31.7,0.0,36951
E01000067,1969,452,429,408,452,228,1289,102.3,13.0,25.3,30.3,19.0,12.5,32.2,250000,46.6,55.3,8.7,23.1,14.2,15.9,3.1,10.4,23.6,9.7,6.9,6.4,86.7,83.5,11.9,4.6,29.5,43.7,21.1,4.0,1.8,36.7,63.3,0.0,39939
E01000069,1763,408,408,346,421,180,1175,87.9,9.6,16.0,27.2,1.2,11.3,4.4,298000,31.0,59.7,4.3,20.5,14.4,16.5,2.8,12.2,23.7,10.0,5.6,6.9,87.6,85.5,10.6,3.9,15.8,44.6,28.7,9.2,1.8,7.6,92.4,0.0,47264
E01000070,1975,417,462,407,409,280,1278,50.4,8.5,17.9,34.2,6.0,14.5,15.9,250000,48.0,57.4,8.0,22.8,13.0,13.9,2.4,10.3,25.7,11.9,6.6,8.0,85.4,82.2,13.4,4.4,25.6,42.8,23.1,6.4,2.2,0.0,93.7,6.3,44258
E01000071,2253,539,494,517,425,278,1436,83.3,11.0,28.3,37.5,14.4,21.5,27.6,249995,49.2,59.0,8.0,22.3,13.7,13.0,2.0,10.6,28.2,10.2,6.6,7.8,85.6,83.9,11.1,5.0,28.2,47.8,18.7,3.3,2.0,13.0,87.0,0.0,39056
E01000057,1496,437,274,352,296,137,922,101.3,25.5,22.5,28.5,40.0,13.4,16.6,152500,54.9,56.9,9.4,26.8,16.4,14.5,2.6,8.9,21.2,9.4,8.1,7.3,84.6,81.3,12.8,5.9,37.6,49.0,10.8,2.2,0.4,6.2,93.8,0.0,28151
E01000073,1619,437,286,401,308,187,995,56.9,19.9,27.9,24.3,31.1,16.3,8.0,155000,46.7,58.3,10.2,30.6,18.0,15.0,3.0,7.6,17.1,8.6,10.6,6.9,82.5,78.4,13.8,7.8,35.2,47.4,15.0,1.9,0.5,100.0,0.0,0.0,28149
E01000074,1567,438,299,365,304,161,968,95.4,21.3,31.8,22.0,42.3,14.5,13.9,152000,52.9,57.6,9.4,29.3,17.4,16.0,2.4,9.8,16.7,8.4,9.1,8.8,82.1,79.3,14.2,6.5,40.4,43.6,13.2,2.5,0.3,60.1,39.9,0.0,27744
E01000075,1732,432,312,378,396,214,1086,33.5,14.1,25.6,24.0,32.3,10.8,4.6,181500,55.0,54.4,9.2,31.8,16.5,16.7,2.5,8.8,15.4,8.4,9.7,8.9,81.4,79.4,12.9,7.7,32.2,46.5,16.9,3.7,0.8,0.0,100.0,0.0,28890
E01000076,1988,605,341,467,396,179,1204,104.2,19.3,28.6,25.6,42.8,14.5,14.4,151000,53.7,54.7,11.0,36.2,13.7,15.7,2.2,7.6,16.1,8.5,7.7,8.6,83.8,79.0,15.0,5.9,39.4,41.0,15.5,3.5,0.6,57.5,42.5,0.0,26661
E01000013,1660,415,311,359,359,216,1029,79.9,20.8,25.2,26.4,39.1,15.2,11.5,161000,59.6,56.5,10.1,33.5,14.1,15.6,1.4,9.2,16.9,9.2,10.8,8.5,80.7,79.6,11.2,9.2,43.4,43.4,10.9,1.8,0.5,0.6,81.6,17.8,27808
E01000014,1656,403,348,361,355,189,1064,48.5,17.7,28.2,23.8,37.6,15.0,14.4,160000,57.3,57.4,11.4,31.4,17.6,15.4,1.8,8.8,14.3,10.8,8.6,9.6,81.8,80.1,13.5,6.3,35.9,47.5,13.0,3.0,0.6,19.0,81.0,0.0,27451
E01000059,1582,410,274,360,354,184,988,75.9,23.4,26.5,21.3,38.8,12.3,5.3,150998,63.6,57.6,10.0,34.0,14.5,17.8,2.5,7.3,16.4,7.5,11.5,8.9,79.6,79.1,14.3,6.6,35.8,43.4,16.8,3.1,0.9,44.1,55.9,0.0,27976
E01000084,1355,365,247,322,289,132,858,90.3,20.1,26.7,23.8,41.4,16.6,8.8,151000,55.4,58.0,9.8,31.3,16.9,14.9,1.5,9.5,17.4,8.5,8.7,8.4,82.9,80.4,13.5,6.1,42.2,43.5,12.8,1.5,0.0,0.0,88.2,11.8,27432
E01000085,1718,480,341,351,373,173,1065,118.2,18.9,26.7,30.2,44.7,18.0,23.5,147750,51.6,52.0,14.0,35.6,16.1,14.9,1.6,7.4,16.0,8.3,8.1,8.4,83.5,78.5,15.4,6.1,46.4,39.5,11.2,2.5,0.3,0.0,86.2,13.8,25635
E01000086,1431,379,285,313,310,144,908,102.1,18.5,23.8,25.6,38.4,11.8,4.2,160000,58.8,58.8,10.4,30.5,15.9,16.4,2.3,7.9,18.9,8.1,8.5,8.0,83.5,80.1,14.5,5.5,36.6,46.5,12.2,3.9,0.8,0.0,100.0,0.0,28962
E01000103,1685,444,365,403,345,128,1113,24.0,24.0,22.8,30.8,36.2,18.2,32.1,167500,61.9,53.6,12.8,29.6,16.4,14.9,1.8,8.1,20.6,8.6,7.8,7.2,84.9,83.0,10.9,6.1,35.7,46.7,14.8,2.0,0.8,77.9,22.1,0.0,26253
E01000104,1781,501,394,405,341,140,1140,80.9,20.8,38.0,27.7,57.5,11.1,70.1,134925,54.8,53.1,15.7,28.3,18.1,19.5,2.7,9.5,14.5,7.5,7.5,7.4,85.2,83.2,10.9,5.9,46.0,42.1,10.3,1.5,0.1,8.6,91.4,0.0,25434
E01000105,2129,538,428,480,416,267,1324,96.4,20.1,36.0,24.8,58.0,11.6,50.5,154500,48.6,52.5,15.3,35.1,15.4,15.1,2.1,7.7,17.3,7.3,11.3,8.6,80.1,77.3,16.5,6.2,53.1,36.2,9.4,1.3,0.0,6.9,79.4,13.7,25391
